Athlete,College Grade,Name of College,Coll Time,Year,College Conf,College All-Conf,College AA,Olympian,College Division,Event,,,,
Paloma DeMonte,,,,2019,,,0,,D3,800m,,,,
Valerie Jones,,,,2019,,,0,,D3,800m,,,,
Chelsea Miskelley,,,,2019,,,0,,D3,800m,,,,
Sophy Cunningham,,,,2019,,,0,,D3,800m,,,,
Sophie Drew,,,,2019,,,0,,D3,800m,,,,
Elizabeth Donnelly,,,,2019,,,0,,D3,800m,,,,
Alexandra Maddux,,,,2019,,,0,,D3,800m,,,,
Margaret Nickerson,,,,2019,,,0,,D3,800m,,,,
Hannah Neilon,,,,2019,,,0,,D3,800m,,,,
Katelyn Pease,,,,2019,,,0,,D3,800m,,,,
Melissa Pelkey,,,,2019,,,0,,D3,800m,,,,
Natalie Stabilito,,,,2019,,,0,,D3,800m,,,,
Veronica Kordrupel,,,,2019,,,0,,D3,800m,,,,
Michelle Hirsch,,,,2019,,,0,,D3,800m,,,,
Natalie Rogus,,,,2019,,,0,,D3,800m,,,,
Jessica Harris,,,,2019,,,1,,D1,1500m,,,,
Josette Norris,,,,2019,,,0,,D1,1500m,,,,
Nicole Hutchinson,,,,2019,,,0,,D1,1500m,,,,
Rachel McArthur,,,,2019,,,0,,D1,1500m,,,,
Allie Wilson,,,,2019,,,0,,D1,1500m,,,,
Danae Rivers,,,,2019,,,0,,D1,1500m,,,,
Julia Rizk,,,,2019,,,0,,D1,1500m,,,,
Maudie Skyring,,,,2019,,,0,,D1,1500m,,,,
Nia Akins,,,,2019,,,0,,D1,1500m,,,,
Dillon McClintock,,,,2019,,,1,,D1,1500m,,,,
Millie Howard,,,,2019,,,0,,D1,1500m,,,,
Millie Paladino,,,,2019,,,0,,D1,1500m,,,,
Maddie Villalba,,,,2019,,,0,,D1,1500m,,,,
Annie Fuller,,,,2019,,,0,,D1,1500m,,,,
Lotte Black,,,,2019,,,1,,D1,1500m,,,,
Imogen Barrett,,,,2019,,,0,,D1,1500m,,,,
Nevada Mareno,,,,2019,,,0,,D1,1500m,,,,
Kelsey Harris,,,,2019,,,0,,D1,1500m,,,,
Esther Gitahi,,,,2019,,,0,,D1,1500m,,,,
Rachel Pocratsky,,,,2019,,,0,,D1,1500m,,,,
Karisa Nelson,,,,2019,,,0,,D1,1500m,,,,
Alexandra Lucki,,,,2019,,,0,,D1,1500m,,,,
Savannah Carnahan,,,,2019,,,0,,D1,1500m,,,,
Dominique Clairmonte,,,,2019,,,0,,D1,1500m,,,,
Martha Bissah,,,,2019,,,0,,D1,1500m,,,,
Sarah Edwards,,,,2019,,,0,,D1,1500m,,,,
Jocelyn Chau,,,,2019,,,0,,D1,1500m,,,,
Petronela Simiuc,,,,2019,,,0,,D1,1500m,,,,
Egle Morenaite,,,,2019,,,0,,D1,1500m,,,,
Hayley Jackson ,,,,2019,,,0,,D1,1500m,,,,
Caroline Alcorta,,,,2019,,,0,,D1,1500m,,,,
Nicole Gardner,,,,2019,,,0,,D1,1500m,,,,
Melissa Anastasakis,,,,2019,,,0,,D1,1500m,,,,
Johanna Schulz,,,,2019,,,0,,D1,1500m,,,,
Helene Holm Gottlieb,,,,2019,,,0,,D1,1500m,,,,
Micaela DeGenero,,,,2019,,,0,,D1,1500m,,,,
Meg Darmofal,,,,2019,,,0,,D1,1500m,,,,
Liz Lansing,,,,2019,,,0,,D1,1500m,,,,
Haley Harris,,,,2019,,,0,,D1,1500m,,,,
Kim Hallowes,,,,2019,,,0,,D1,1500m,,,,
Kaitlyn Ohrtman,,,,2019,,,0,,D1,1500m,,,,
Annie Taylor,,,,2019,,,0,,D1,1500m,,,,
Mackenzie Andrews,,,,2019,,,0,,D1,1500m,,,,
Hannah Meier,,,,2019,,,0,,D1,1500m,,,,
Hannah Steelman ,,,,2019,,,0,,D1,1500m,,,,
Paige Duca,,,,2019,,,0,,D1,1500m,,,,
Carlyn Arteaga,,,,2019,,,0,,D1,1500m,,,,
Megan Mooney,,,,2019,,,0,,D1,1500m,,,,
Grace Jensen,,,,2019,,,0,,D1,1500m,,,,
Jodie Judd,,,,2019,,,0,,D1,1500m,,,,
Madeleine King,,,,2019,,,0,,D1,1500m,,,,
Sydney Meyers,,,,2019,,,0,,D1,1500m,,,,
Brianna Ilarda,,,,2019,,,0,,D1,1500m,,,,
Militsa Mircheva,,,,2019,,,0,,D1,1500m,,,,
Annie Fanta,,,,2019,,,0,,D1,1500m,,,,
Anna Juul,,,,2019,,,0,,D1,1500m,,,,
Abby Nichols,,,,2019,,,0,,D1,1500m,,,,
Claire Hamilton,,,,2019,,,0,,D1,1500m,,,,
Katherine Receveur,,,,2019,,,0,,D1,1500m,,,,
Sophie Cantine,,,,2019,,,0,,D1,1500m,,,,
Kayla Kavulich,,,,2019,,,0,,D1,1500m,,,,
Katie Wasserman,,,,2019,,,0,,D1,1500m,,,,
Madison Offstein,,,,2019,,,0,,D1,1500m,,,,
Amy Ruiz,,,,2019,,,0,,D1,1500m,,,,
Clare Severe,,,,2019,,,0,,D1,1500m,,,,
Eusila Chepkemei,,,,2019,,,0,,D1,1500m,,,,
Shannon Murdock,,,,2019,,,0,,D1,1500m,,,,
Ersula Farrow,,,,2019,,,0,,D1,1500m,,,,
Kaley Richards,,,,2019,,,0,,D1,1500m,,,,
Sarah Forman,,,,2019,,,0,,D1,1500m,,,,
Nicole Fegans,,,,2019,,,0,,D1,1500m,,,,
Candace Jones,,,,2019,,,0,,D1,1500m,,,,
Alie Fordyce,,,,2019,,,0,,D1,1500m,,,,
Jessica Drop,,,,2019,,,0,,D1,1500m,,,,
Abby Halbrook,,,,2019,,,0,,D1,1500m,,,,
Kathryn Gillespie,,,,2019,,,0,,D1,1500m,,,,
Hollie Parker,,,,2019,,,0,,D1,1500m,,,,
Lauren Ryan,,,,2019,,,0,,D1,1500m,,,,
Josephine Thestrup,,,,2019,,,0,,D1,1500m,,,,
Sami Corman,,,,2019,,,0,,D1,1500m,,,,
Moira O'Shea,,,,2019,,,0,,D1,1500m,,,,
Lauren Berman,,,,2019,,,0,,D1,1500m,,,,
Gabrielle Wilkinson,,,,2019,,,0,,D1,1500m,,,,
Hannah Stoffel,,,,2019,,,0,,D1,1500m,,,,
Janelle Noe,,,,2019,,,0,,D1,1500m,,,,
S. Brooke Moore,,,,2019,,,0,,D1,1500m,,,,
Elisabeth Bergh,,,,2019,,,0,,D1,1500m,,,,
Gemma Nuttall,,,,2019,,,0,,D1,1500m,,,,
Rachel DaDamio,,,,2019,,,0,,D1,1500m,,,,
Hannah Reinhardt,,,,2019,,,0,,D1,1500m,,,,
Erin McDonald,,,,2019,,,0,,D1,1500m,,,,
Breanna Glover,,,,2019,,,0,,D1,1500m,,,,
Jocelyn Quiles,,,,2019,,,0,,D1,1500m,,,,
Alice Hill,,,,2019,,,0,,D1,1500m,,,,
Gillian Wagner,,,,2019,,,0,,D1,1500m,,,,
Sharrika Barnett,,,,2019,,,1,,D1,400m,,,,
Wadeline Jonathas,,,,2019,,,1,,D1,400m,,,,
Chloe Abbott,,,,2019,,,1,,D1,400m,,,,
Aliyah Abrams,,,,2019,,,1,,D1,400m,,,,
Alexis Holmes,,,,2019,,,0,,D1,400m,,,,
Doneisha Anderson,,,,2019,,,0,,D1,400m,,,,
Stephanie Davis ,,,,2019,,,0,,D1,400m,,,,
Natassha McDonald,,,,2019,,,0,,D1,400m,,,,
Anna Jefferson,,,,2019,,,0,,D1,400m,,,,
Brittny Ellis,,,,2019,,,0,,D1,400m,,,,
Taylor Manson,,,,2019,,,0,,D1,400m,,,,
Kat Surin,,,,2019,,,0,,D1,400m,,,,
Takyera Roberson,,,,2019,,,0,,D1,400m,,,,
Abike Egbeniyi,,,,2019,,,0,,D1,400m,,,,
Mauricia Prieto,,,,2019,,,0,,D1,400m,,,,
Tori Ray,,,,2019,,,0,,D1,400m,,,,
Lenysse Dyer,,,,2019,,,0,,D1,400m,,,,
Sarah Moore,,,,2019,,,0,,D1,400m,,,,
Olivia Bechtel,,,,2019,,,0,,D1,400m,,,,
Annastacia Barham,,,,2019,,,0,,D1,400m,,,,
Amanda Stead,,,,2019,,,0,,D1,400m,,,,
Katie Funcheon,,,,2019,,,0,,D1,400m,,,,
Niata Alexander,,,,2019,,,0,,D1,400m,,,,
Martina Weil,,,,2019,,,0,,D1,400m,,,,
Leah Anderson,,,,2019,,,0,,D1,400m,,,,
Karimah Davis,,,,2019,,,0,,D1,400m,,,,
Kayla Johnson,,,,2019,,,0,,D1,400m,,,,
Kayla Smith,,,,2019,,,0,,D1,400m,,,,
Uchechi Nwogwugwu,,,,2019,,,0,,D1,400m,,,,
Ty'Asia Dansbury,,,,2019,,,0,,D1,400m,,,,
D'Jai Baker,,,,2019,,,0,,D1,400m,,,,
Symone Mason,,,,2019,,,0,,D1,400m,,,,
Sun-Sara Williams,,,,2019,,,0,,D1,400m,,,,
Natashia Jackson,,,,2019,,,0,,D1,400m,,,,
Maya Singletary,,,,2019,,,0,,D1,400m,,,,
Malika Pride,,,,2019,,,0,,D1,400m,,,,
Nicole Yeargin,,,,2019,,,0,,D1,400m,,,,
Juannae Lewis,,,,2019,,,0,,D1,400m,,,,
Micah Johnston,,,,2019,,,0,,D1,400m,,,,
Ozioma Scott,,,,2019,,,0,,D1,400m,,,,
Joycelyn Assafuah,,,,2019,,,0,,D1,400m,,,,
Amber Tanner,,,,2019,,,0,,D1,400m,,,,
Janae Caldwell,,,,2019,,,0,,D1,400m,,,,
Maiah Walker,,,,2019,,,0,,D1,400m,,,,
Gabriella Beauvais,,,,2019,,,0,,D1,400m,,,,
Rachel Misher,,,,2019,,,0,,D1,400m,,,,
Maya Harewood,,,,2019,,,0,,D1,400m,,,,
Micaiah Ransby,,,,2019,,,0,,D1,400m,,,,
Natalie Price,,,,2019,,,0,,D1,400m,,,,
Arlicia Bush,,,,2019,,,0,,D1,400m,,,,
Savyon Toombs,,,,2019,,,0,,D1,400m,,,,
Haisha Bisiolu,,,,2019,,,0,,D1,400m,,,,
Kristen Williams,,,,2019,,,0,,D1,400m,,,,
India Lowe,,,,2019,,,0,,D1,400m,,,,
Rian Robinson,,,,2019,,,0,,D1,400m,,,,
Kiya Oviosun,,,,2019,,,0,,D1,400m,,,,
Paris Perkins,,,,2019,,,0,,D1,400m,,,,
MaQuila Norman,,,,2019,,,0,,D1,400m,,,,
Samantha Cuneo,,,,2019,,,0,,D1,400m,,,,
Karrington Winters,,,,2019,,,0,,D1,400m,,,,
Jayda Eckford,,,,2019,,,0,,D1,400m,,,,
Pashen Williams,,,,2019,,,0,,D1,400m,,,,
Layla White,,,,2019,,,0,,D1,400m,,,,
Liz Reid,,,,2019,,,0,,D1,400m,,,,
Cortney Dowling,,,,2019,,,0,,D1,400m,,,,
McKinley McNeill,,,,2019,,,0,,D1,400m,,,,
Kendra Clarke,,,,2019,,,0,,D1,400m,,,,
Kiara Lester,,,,2019,,,0,,D1,400m,,,,
Halima Scott,,,,2019,,,0,,D1,400m,,,,
Xahria Santiago,,,,2019,,,0,,D1,400m,,,,
Madison Kennedy,,,,2019,,,0,,D1,400m,,,,
Taiya Shelby,,,,2019,,,0,,D1,400m,,,,
Tiona Lattimore,,,,2019,,,0,,D1,400m,,,,
Tahja Mitchell,,,,2019,,,0,,D1,400m,,,,
Ajani Williams,,,,2019,,,0,,D1,400m,,,,
Nikki Scherer,,,,2019,,,0,,D1,400m,,,,
Bethany Evankovich,,,,2019,,,0,,D1,400m,,,,
Faith Banks,,,,2019,,,0,,D1,400m,,,,
Amelia Reynolds,,,,2019,,,0,,D1,400m,,,,
Sabrina Richman,,,,2019,,,0,,D1,400m,,,,
Nykah Smith,,,,2019,,,0,,D1,400m,,,,
Iman Sule,,,,2019,,,0,,D1,400m,,,,
Chloe Foster,,,,2019,,,0,,D1,400m,,,,
Cecil Ene,,,,2019,,,0,,D1,400m,,,,
Jinjer Pearce,,,,2019,,,0,,D1,400m,,,,
Brittany Aveni,,,,2019,,,0,,D1,400m,,,,
Kiana Lee,,,,2019,,,0,,D1,400m,,,,
Erin Dowd,,,,2019,,,0,,D1,400m,,,,
Leah Fowlkes,,,,2019,,,0,,D1,400m,,,,
Samara Miller,,,,2019,,,0,,D1,400m,,,,
Katherine Arbogast,,,,2019,,,0,,D1,400m,,,,
Marissa White,,,,2019,,,0,,D1,400m,,,,
Rachel Helbling,,,,2019,,,0,,D1,400m,,,,
KellyAnn Downer,,,,2019,,,0,,D1,400m,,,,
Sydni Townsend,,,,2019,,,0,,D1,400m,,,,
Jessica Hull,,,,2019,,,1,,D1,1500m,,,,
Alexis Fuller,,,,2019,,,0,,D1,1500m,,,,
Sinclaire Johnson,,,,2019,,,1,,D1,1500m,,,,
Sarah Feeny,,,,2019,,,0,,D1,1500m,,,,
Erica Birk,,,,2019,,,0,,D1,1500m,,,,
Whittni Orton,,,,2019,,,1,,D1,1500m,,,,
Carina Viljoen,,,,2019,,,0,,D1,1500m,,,,
Dani Jones,,,,2019,,,0,,D1,1500m,,,,
Allie Ostrander,,,,2019,,,0,,D1,1500m,,,,
Anna Camp,,,,2019,,,0,,D1,1500m,,,,
Lauren Gregory,,,,2019,,,0,,D1,1500m,,,,
Lilian Koech,,,,2019,,,0,,D1,1500m,,,,
Allie Schadler,,,,2019,,,0,,D1,1500m,,,,
Taryn Rawlings,,,,2019,,,0,,D1,1500m,,,,
Dana Klein,,,,2019,,,0,,D1,1500m,,,,
Jessica Lawson,,,,2019,,,0,,D1,1500m,,,,
Devin Clark,,,,2019,,,0,,D1,1500m,,,,
Julia Heymach,,,,2019,,,0,,D1,1500m,,,,
Taylor Werner,,,,2019,,,0,,D1,1500m,,,,
Molly Sughroue,,,,2019,,,0,,D1,1500m,,,,
Sharlie Dimick,,,,2019,,,0,,D1,1500m,,,,
Ella Donaghu,,,,2019,,,1,,D1,1500m,,,,
Jenny Celis,,,,2019,,,1,,D1,1500m,,,,
Susan Ejore,,,,2019,,,0,,D1,1500m,,,,
Katie Rainsberger,,,,2019,,,0,,D1,1500m,,,,
Samantha Huerta,,,,2019,,,0,,D1,1500m,,,,
Ednah Kurgat,,,,2019,,,0,,D1,1500m,,,,
Jordan Oakes,,,,2019,,,0,,D1,1500m,,,,
Lauren Ellsworth,,,,2019,,,0,,D1,1500m,,,,
Destiny Collins,,,,2019,,,0,,D1,1500m,,,,
Maddy Reed,,,,2019,,,0,,D1,1500m,,,,
Ariane Ballner,,,,2019,,,0,,D1,1500m,,,,
Olivia Hoj,,,,2019,,,0,,D1,1500m,,,,
Makena Morley,,,,2019,,,0,,D1,1500m,,,,
Kate Hunter,,,,2019,,,0,,D1,1500m,,,,
Haley Herberg,,,,2019,,,0,,D1,1500m,,,,
Bethany Hasz,,,,2019,,,0,,D1,1500m,,,,
Kassidy Johnson,,,,2019,,,0,,D1,1500m,,,,
Taylor Chiotti,,,,2019,,,0,,D1,1500m,,,,
Bianca Tinoco,,,,2019,,,0,,D1,1500m,,,,
Sydney Brown,,,,2019,,,0,,D1,1500m,,,,
Fiona O'Keeffe,,,,2019,,,0,,D1,1500m,,,,
Angie Nickerson,,,,2019,,,0,,D1,1500m,,,,
Aisha Graham,,,,2019,,,0,,D1,1500m,,,,
Abbie McNulty,,,,2019,,,0,,D1,1500m,,,,
Alex Cruz,,,,2019,,,0,,D1,1500m,,,,
Mina Anglero,,,,2019,,,0,,D1,1500m,,,,
Annie Hill,,,,2019,,,0,,D1,1500m,,,,
Kristie Schoffield,,,,2019,,,0,,D1,1500m,,,,
Meghan Underwood,,,,2019,,,0,,D1,1500m,,,,
Madison Boreman,,,,2019,,,0,,D1,1500m,,,,
Savannah Neuberger,,,,2019,,,0,,D1,1500m,,,,
Adva Cohen,,,,2019,,,0,,D1,1500m,,,,
Tabor Scholl,,,,2019,,,0,,D1,1500m,,,,
Anna Maxwell,,,,2019,,,0,,D1,1500m,,,,
Karina Mann,,,,2019,,,0,,D1,1500m,,,,
Elsa Forsberg,,,,2019,,,0,,D1,1500m,,,,
Alissa Fielding,,,,2019,,,0,,D1,1500m,,,,
Sarah Newton,,,,2019,,,0,,D1,1500m,,,,
Pipi Eitel,,,,2019,,,0,,D1,1500m,,,,
Morgan Szekely,,,,2019,,,0,,D1,1500m,,,,
Carolyne Chepkosgei,,,,2019,,,0,,D1,1500m,,,,
Crissey Amberg,,,,2019,,,0,,D1,1500m,,,,
Madelyn Brooks,,,,2019,,,0,,D1,1500m,,,,
Amy Quinones,,,,2019,,,0,,D1,1500m,,,,
Catherine Liggett,,,,2019,,,0,,D1,1500m,,,,
Christina Rice,,,,2019,,,0,,D1,1500m,,,,
Kamryn Weber,,,,2019,,,0,,D1,1500m,,,,
Maddy Lyons,,,,2019,,,0,,D1,1500m,,,,
Amy Davis,,,,2019,,,0,,D1,1500m,,,,
Katie Camarena,,,,2019,,,0,,D1,1500m,,,,
Maryn Lowry,,,,2019,,,0,,D1,1500m,,,,
Hannah Behunin,,,,2019,,,0,,D1,1500m,,,,
Rebekah Topham,,,,2019,,,0,,D1,1500m,,,,
Miranda Daschian,,,,2019,,,0,,D1,1500m,,,,
Cara Woolnough,,,,2019,,,0,,D1,1500m,,,,
Erinn Stenman-Fahey,,,,2019,,,0,,D1,1500m,,,,
Anastasia Korzenowski,,,,2019,,,0,,D1,1500m,,,,
Rachel King,,,,2019,,,0,,D1,1500m,,,,
Quinn Owen,,,,2019,,,0,,D1,1500m,,,,
Kelsey Ramirez,,,,2019,,,0,,D1,1500m,,,,
Scarlet Dale,,,,2019,,,0,,D1,1500m,,,,
Carmela Cardama Baez,,,,2019,,,0,,D1,1500m,,,,
Astrid Rosvall,,,,2019,,,0,,D1,1500m,,,,
Avi' Tal Wilson-Perteete,,,,2019,,,0,,D1,1500m,,,,
Kelly O' Brien,,,,2019,,,0,,D1,1500m,,,,
Mackenzie Callahan,,,,2019,,,0,,D1,1500m,,,,
Charlotte Prouse,,,,2019,,,0,,D1,1500m,,,,
Chloe Berry,,,,2019,,,0,,D1,1500m,,,,
Gabby Crank,,,,2019,,,0,,D1,1500m,,,,
Kaili Keefe,,,,2019,,,0,,D1,1500m,,,,
Hannah Campbell,,,,2019,,,0,,D1,1500m,,,,
Kelby Anderson,,,,2019,,,0,,D1,1500m,,,,
Niamh Markham,,,,2019,,,0,,D1,1500m,,,,
Macy Kreutz,,,,2019,,,0,,D1,1500m,,,,
Kethlin Campbell,,,,2019,,,1,,D1,400m,,,,
Syaira Richardson,,,,2019,,,1,,D1,400m,,,,
Kaelin Roberts,,,,2019,,,0,,D1,400m,,,,
Kyra Constantine,,,,2019,,,1,,D1,400m,,,,
Aaliyah Birmingham,,,,2019,,,0,,D1,400m,,,,
Hannah Waller,,,,2019,,,1,,D1,400m,,,,
Briana Guillory,,,,2019,,,0,,D1,400m,,,,
Briyahna DesRosiers,,,,2019,,,0,,D1,400m,,,,
Meleni Rodney,,,,2019,,,0,,D1,400m,,,,
Bailey Lear,,,,2019,,,0,,D1,400m,,,,
Kennedy Simon,,,,2019,,,0,,D1,400m,,,,
Tierra Robinson-Jones,,,,2019,,,0,,D1,400m,,,,
Serenity Douglas,,,,2019,,,0,,D1,400m,,,,
Gabby Scott,,,,2019,,,0,,D1,400m,,,,
Jaevin Reed,,,,2019,,,0,,D1,400m,,,,
Jai'Lyn Merriweather,,,,2019,,,0,,D1,400m,,,,
Kiana Horton,,,,2019,,,0,,D1,400m,,,,
Lauren Gale,,,,2019,,,0,,D1,400m,,,,
Honour Finley,,,,2019,,,0,,D1,400m,,,,
Chika Iwuamadi,,,,2019,,,0,,D1,400m,,,,
Lily Beckford,,,,2019,,,0,,D1,400m,,,,
Tatum Waggoner,,,,2019,,,0,,D1,400m,,,,
Zola Golden,,,,2019,,,0,,D1,400m,,,,
Diana Gajda,,,,2019,,,0,,D1,400m,,,,
Victoria Powell,,,,2019,,,0,,D1,400m,,,,
Paris Peoples,,,,2019,,,0,,D1,400m,,,,
Morgan Burks Magee,,,,2019,,,0,,D1,400m,,,,
Aneesa SCOTT,,,,2019,,,0,,D1,400m,,,,
Shilah Bedingfield,,,,2019,,,0,,D1,400m,,,,
Ashlan Best,,,,2019,,,0,,D1,400m,,,,
Venessa D'Arpino,,,,2019,,,0,,D1,400m,,,,
Karolina Pahlitzsch,,,,2019,,,0,,D1,400m,,,,
Nyjari McNeil,,,,2019,,,0,,D1,400m,,,,
Camira Haughton,,,,2019,,,0,,D1,400m,,,,
Ashley Hughes,,,,2019,,,0,,D1,400m,,,,
Sydney Hammit,,,,2019,,,0,,D1,400m,,,,
Jarra Owens,,,,2019,,,0,,D1,400m,,,,
Mariah Kuykendoll,,,,2019,,,0,,D1,400m,,,,
Cayla Burch,,,,2019,,,0,,D1,400m,,,,
Jasmine Malone,,,,2019,,,0,,D1,400m,,,,
Knowledge Omovoh,,,,2019,,,0,,D1,400m,,,,
Kirsten Carter,,,,2019,,,0,,D1,400m,,,,
Ranae McKenzie,,,,2019,,,0,,D1,400m,,,,
Lena Kandissounon,,,,2019,,,0,,D1,400m,,,,
Kiersten Walker,,,,2019,,,0,,D1,400m,,,,
Jessica Ozoude,,,,2019,,,0,,D1,400m,,,,
Tianna Holmes,,,,2019,,,0,,D1,400m,,,,
Tiffani Mays,,,,2019,,,0,,D1,400m,,,,
Jadsia Warden,,,,2019,,,0,,D1,400m,,,,
Vanessa Ugorji,,,,2019,,,0,,D1,400m,,,,
Chisom Nwoko,,,,2019,,,0,,D1,400m,,,,
Shafiqua Maloney,,,,2019,,,0,,D1,400m,,,,
Tiana Wilson,,,,2019,,,0,,D1,400m,,,,
Imani Nave,,,,2019,,,0,,D1,400m,,,,
Linnea Saltz,,,,2019,,,0,,D1,400m,,,,
Shannon Meisberger,,,,2019,,,0,,D1,400m,,,,
Dora Filipovic,,,,2019,,,0,,D1,400m,,,,
Alicia Carter,,,,2019,,,0,,D1,400m,,,,
Kiana Banks,,,,2019,,,0,,D1,400m,,,,
Lisa-Anne Barrow,,,,2019,,,0,,D1,400m,,,,
Patricija Roshofa,,,,2019,,,0,,D1,400m,,,,
Jalyn Harris,,,,2019,,,0,,D1,400m,,,,
Jazmine Fray,,,,2019,,,0,,D1,400m,,,,
Christina Ollison,,,,2019,,,0,,D1,400m,,,,
Maddie McCalla ,,,,2019,,,0,,D1,400m,,,,
Zion Corrales-Nelson,,,,2019,,,0,,D1,400m,,,,
Carolyn Wilson,,,,2019,,,0,,D1,400m,,,,
McKenna Ramsay,,,,2019,,,0,,D1,400m,,,,
Brenna Porter,,,,2019,,,0,,D1,400m,,,,
Mikayla Revera,,,,2019,,,0,,D1,400m,,,,
Birexus Hawkins,,,,2019,,,0,,D1,400m,,,,
Avi' Tal Wilson-Perteete,,,,2019,,,0,,D1,400m,,,,
Marleena Eubanks,,,,2019,,,0,,D1,400m,,,,
Val Larson,,,,2019,,,0,,D1,400m,,,,
Aaliyah Teel,,,,2019,,,0,,D1,400m,,,,
Hope Bender,,,,2019,,,0,,D1,400m,,,,
Imani Apostol,,,,2019,,,0,,D1,400m,,,,
Erekha Sebastion,,,,2019,,,0,,D1,400m,,,,
Gabrielle DesRosiers,,,,2019,,,0,,D1,400m,,,,
Ellie Quackenbush,,,,2019,,,0,,D1,400m,,,,
Morgan Stewart,,,,2019,,,0,,D1,400m,,,,
Jhane' King,,,,2019,,,0,,D1,400m,,,,
Sakura Roberson,,,,2019,,,0,,D1,400m,,,,
Courtney Paddock,,,,2019,,,0,,D1,400m,,,,
Dai'Lyn Merriweather,,,,2019,,,0,,D1,400m,,,,
Bianca Stubler,,,,2019,,,0,,D1,400m,,,,
Darionne Gibson,,,,2019,,,0,,D1,400m,,,,
Sydnee Mitchell-Jemison,,,,2019,,,0,,D1,400m,,,,
Genesis Ewell,,,,2019,,,0,,D1,400m,,,,
Zani Meaders,,,,2019,,,0,,D1,400m,,,,
Madison Gibson,,,,2019,,,0,,D1,400m,,,,
Anna Siemens,,,,2019,,,0,,D1,400m,,,,
Nikole Haroon,,,,2019,,,0,,D1,400m,,,,
Felicia Phillips,,,,2019,,,0,,D1,400m,,,,
Alexandra Byrnes,,,,2019,,,0,,D1,400m,,,,
Roisin Flanagan,,,,2019,,,1,,D2,1500m,,,,
Caroline Kurgat,,,,2019,,,0,,D2,1500m,,,,
Stephanie Cotter,,,,2019,,,1,,D2,1500m,,,,
Eilish Flanagan,,,,2019,,,0,,D2,1500m,,,,
Alicja Konieczek,,,,2019,,,1,,D2,1500m,,,,
Allie Ludge,,,,2019,,,1,,D2,1500m,,,,
Andra Lehotay,,,,2019,,,1,,D2,1500m,,,,
Liz Bloch,,,,2019,,,1,,D2,1500m,,,,
Chloe Cook,,,,2019,,,0,,D2,1500m,,,,
Skylyn Webb,,,,2019,,,0,,D2,1500m,,,,
Kristen Metcalfe,,,,2019,,,1,,D2,1500m,,,,
Stefanie Parsons,,,,2019,,,0,,D2,1500m,,,,
Julia Howley,,,,2019,,,0,,D2,1500m,,,,
Casey Monoszlay,,,,2019,,,0,,D2,1500m,,,,
Miryam Bassett,,,,2019,,,0,,D2,1500m,,,,
Elysia Burgos,,,,2019,,,0,,D2,1500m,,,,
Kate Lilly,,,,2019,,,0,,D2,1500m,,,,
Danielle McCormick,,,,2019,,,0,,D2,1500m,,,,
Hailey Streff,,,,2019,,,1,,D2,1500m,,,,
Kara Burton ,,,,2019,,,0,,D2,1500m,,,,
Charlee Boxall,,,,2019,,,0,,D2,1500m,,,,
Chloe Flora,,,,2019,,,0,,D2,1500m,,,,
Nancy Jeptoo,,,,2019,,,0,,D2,1500m,,,,
Sophie Dodd,,,,2019,,,0,,D2,1500m,,,,
Hasna Kaarour,,,,2019,,,0,,D2,1500m,,,,
Hannah Benoit-Bucher,,,,2019,,,0,,D2,1500m,,,,
Mickayla Wenzel,,,,2019,,,0,,D2,1500m,,,,
Eileen Stressling,,,,2019,,,0,,D2,1500m,,,,
Rachael Walters,,,,2019,,,0,,D2,1500m,,,,
Bailey Sharon,,,,2019,,,0,,D2,1500m,,,,
Dania Holmberg,,,,2019,,,0,,D2,1500m,,,,
Rachael Lopez,,,,2019,,,0,,D2,1500m,,,,
Angelina Ronquillo,,,,2019,,,0,,D2,1500m,,,,
Sabrina Garcia,,,,2019,,,0,,D2,1500m,,,,
Layla Almasri,,,,2019,,,0,,D2,1500m,,,,
Taylor Hestekin,,,,2019,,,0,,D2,1500m,,,,
Kaylee Mitchell,,,,2019,,,0,,D2,1500m,,,,
Malena Grover,,,,2019,,,0,,D2,1500m,,,,
HaLeigh Hunter-Galvan,,,,2019,,,0,,D2,1500m,,,,
Caroline Kurgat,,,,2019,,,0,,D2,5000m,,,,
Eilish Flanagan,,,,2019,,,0,,D2,5000m,,,,
Leah Hanle,,,,2019,,,0,,D2,5000m,,,,
Julia Howley,,,,2019,,,0,,D2,5000m,,,,
Alicja Konieczek,,,,2019,,,0,,D2,5000m,,,,
HaLeigh Hunter-Galvan,,,,2019,,,0,,D2,5000m,,,,
Allie Ludge,,,,2019,,,0,,D2,5000m,,,,
Eileen Stressling,,,,2019,,,0,,D2,5000m,,,,
Gina Patterson,,,,2019,,,0,,D2,5000m,,,,
Chloe Cook,,,,2019,,,0,,D2,5000m,,,,
Casey Monoszlay,,,,2019,,,0,,D2,5000m,,,,
Cynthia Togom,,,,2019,,,0,,D2,5000m,,,,
Lauren Bailey,,,,2019,,,0,,D2,5000m,,,,
Hanna Groeber,,,,2019,,,0,,D2,5000m,,,,
Malena Grover,,,,2019,,,0,,D2,5000m,,,,
Madison Goen,,,,2019,,,0,,D2,5000m,,,,
Alexa Shindruk,,,,2019,,,0,,D2,5000m,,,,
Ida Narbuvoll,,,,2019,,,0,,D2,5000m,,,,
Madeline Geesen ,,,,2019,,,0,,D2,5000m,,,,
