Athlete,Time,School,Course,Year
Avery Zeinstra,19:28.0,Byron Center,Portage,2019
Amelia Kashian,19:28.2,Brighton,Portage,2019
Claire Endres,19:28.4,Saline,Portage,2019
Anna Dudek,19:29.1,Ann Arbor Pioneer,Portage,2019
Onivas Tupa,19:32.4,Northville,Portage,2019
Sydney Tran,19:32.7,FHN GR_Forest Hills Northern,Portage,2019
Grace Fletter,19:35.7,FHN GR_Forest Hills Northern,Portage,2019
Ali Blouch,19:36.6,St Joseph Academy,Portage,2019
Riley Mullen,19:36.7,St. Joseph,Portage,2019
Marin Stevens,19:37.7,Bay City Western,Portage,2019
Carlee Blankenship,19:39.0,St Joseph Academy,Portage,2019
Kate Hindman,19:39.0,Mattawan,Portage,2019
Madison Stern,19:39.3,Saline,Portage,2019
Sarah Nondorf,19:40.2,Mattawan,Portage,2019
Bailey Ewen,19:40.5,Rockford,Portage,2019
Madison Foster,19:40.8,Temperance Bedford,Portage,2019
Marissa Rivera,19:41.0,Culver Academies,Portage,2019
Sophia Lirio,19:44.2,Hudsonville,Portage,2019
Marie Musser,19:46.6,St Joseph Academy,Portage,2019
Danica Hruby,19:46.9,St Joseph Academy,Portage,2019
Anna Millard,19:48.8,Byron Center,Portage,2019
Makayla Orner,19:50.1,Temperance Bedford,Portage,2019
Nicole Marco,19:52.3,FHC GR_Forest Hills Central,Portage,2019
Hannah Tsiang,19:55.6,Brighton,Portage,2019
Lexie Brown,19:55.9,Hartland,Portage,2019
Sarah Scott,19:56.0,St Joseph Academy,Portage,2019
Emma Flanders,19:56.6,Rockford,Portage,2019
Ally Betkey,19:57.8,Temperance Bedford,Portage,2019
Madylin McLean,19:58.2,Traverse City Central,Portage,2019
Alyssa Dorn,19:58.5,Temperance Bedford,Portage,2019
Jennie Line,20:00.5,Northville,Portage,2019
Karissa Picard,20:01.3,Bay City Western,Portage,2019
Rebekah Asselin,20:02.3,Temperance Bedford,Portage,2019
Emily Reeves,20:03.0,Mattawan,Portage,2019
Ella Woehlke,20:03.3,Saline,Portage,2019
Amanda Simon,20:05.9,Brighton,Portage,2019
Barbara DeGood,20:08.9,Caledonia,Portage,2019
Gina Couyoumjian,20:10.5,Northville,Portage,2019
Lauren Garbovits,20:10.8,White Lake Lakeland,Portage,2019
Jenna Kral,20:12.9,Hudsonville,Portage,2019
Grace Hungerford,20:13.5,DeWitt,Portage,2019
Nyla Griffin,20:14.4,Pinckney,Portage,2019
Jenna Ray,20:15.5,Grand Haven,Portage,2019
Kathleen Hummer,20:16.6,Byron Center,Portage,2019
Cassidy Jankens,20:16.7,Bay City Western,Portage,2019
Alicia Sabin,20:17.4,Hudsonville,Portage,2019
Kathleen Venhuizen,20:17.9,Traverse City Central,Portage,2019
Anna Tracey,20:19.9,Rockford,Portage,2019
Hannah Smith,20:20.1,Traverse City West,Portage,2019
Joy Hart,20:20.5,Kalamazoo Loy Norrix,Portage,2019
Jessica Harney,20:20.8,Rockford,Portage,2019
Savanna Coulter,20:22.6,Caledonia,Portage,2019
Megan Postma,20:22.7,Holland West Ottawa,Portage,2019
Emma Munro,20:23.9,Northville,Portage,2019
Aria Novello,20:24.1,White Lake Lakeland,Portage,2019
Pauline Hawkes,20:25.2,Kalamazoo Central,Portage,2019
Olivia DeGraaf,20:25.8,Holland,Portage,2019
Eden Traub,20:26.9,Grand Haven,Portage,2019
Haley Greene,20:27.9,Saline,Portage,2019
Olivia Ippel,20:30.5,St. Joseph,Portage,2019
Emma Bushroe,20:31.4,Temperance Bedford,Portage,2019
Ella Baryo,20:32.7,Grand Ledge,Portage,2019
Tatum Verburg,20:34.8,Caledonia,Portage,2019
Reagan Voetberg,20:36.4,Portage Central,Portage,2019
Kayley Porter,20:37.4,FHN GR_Forest Hills Northern,Portage,2019
Olivia McKellar,20:38.0,Grandville,Portage,2019
Bridgette Dudley,20:38.4,Monroe,Portage,2019
Mia McDonald,20:39.1,White Lake Lakeland,Portage,2019
Emily Cooper,20:39.8,Ann Arbor Pioneer,Portage,2019
Megan McLain,20:40.2,White Lake Lakeland,Portage,2019
Isabella Schmenk,20:40.7,Hartland,Portage,2019
Rachel Fusik,20:41.7,Brighton,Portage,2019
Emma Dykens,20:43.5,Zeeland West,Portage,2019
Brooke Bernier,20:44.3,FHN GR_Forest Hills Northern,Portage,2019
Molly VanDerWoude,20:44.6,Portage Central,Portage,2019
Emma Moore,20:45.3,Pinckney,Portage,2019
Avery Schenk,20:45.4,Zeeland West,Portage,2019
Cecilia Conrad,20:46.1,Muskegon Mona Shores,Portage,2019
Victoria Chekhovskiy,20:46.8,Traverse City West,Portage,2019
Anna Dood,20:46.8,FHN GR_Forest Hills Northern,Portage,2019
Haniya Frayer,20:47.0,Kalamazoo Loy Norrix,Portage,2019
Elise VanStensel,20:47.5,Rockford,Portage,2019
Catrin Koselka,20:48.2,Ann Arbor Skyline,Portage,2019
Emily Laird,20:48.3,Holland West Ottawa,Portage,2019
Katelyn Szafranski,20:48.5,Saline,Portage,2019
Sarah Spears,20:48.6,Hudsonville,Portage,2019
Lydia Valtadoros,20:48.7,Ann Arbor Pioneer,Portage,2019
Mackenzie Allan,20:52.8,Hartland,Portage,2019
Stella Kinney,20:54.1,Culver Academies,Portage,2019
Alex Amores,20:54.2,Grand Haven,Portage,2019
Maggie Bialek,20:54.4,Culver Academies,Portage,2019
Ellie Stark,20:54.4,Brighton,Portage,2019
Ellen Gerhard,20:57.9,Traverse City Central,Portage,2019
Chloe Zeien,20:59.6,FHC GR_Forest Hills Central,Portage,2019
Bella Hoffer,21:00.4,Zeeland West,Portage,2019
Abby Bonnema,21:01.0,Holland West Ottawa,Portage,2019
Talia Wilder,21:01.1,Byron Center,Portage,2019
Arielle Melong,21:03.5,Ann Arbor Skyline,Portage,2019
Isabelle Hawkes,21:04.7,Kalamazoo Central,Portage,2019
Danika Fessenden,21:05.8,Cedar Springs,Portage,2019
Rachel Ricketts,21:07.7,Culver Academies,Portage,2019
Abby Martin,21:08.1,Hudsonville,Portage,2019
Annabelle Mowers,21:09.1,White Lake Lakeland,Portage,2019
Samantha Killmer,21:09.2,Portage Northern,Portage,2019
Allison Kelly,21:09.4,Grand Haven,Portage,2019
Alisa Mason,21:09.9,Holland,Portage,2019
Eliza Phares,21:11.3,Portage Central,Portage,2019
Kaitlynn Robotham,21:11.9,Caledonia,Portage,2019
Eliza Taylor,21:13.5,Grand Haven,Portage,2019
Natalia Quigley,21:13.8,Caledonia,Portage,2019
Grace Finley,21:14.7,Monroe,Portage,2019
Ava Walsh,21:14.8,White Lake Lakeland,Portage,2019
Caitlyn Donnelly,21:15.3,Ann Arbor Skyline,Portage,2019
Courtney Hughes,21:16.2,Grand Ledge,Portage,2019
Abby Marry,21:17.5,Hartland,Portage,2019
Emma Heidema,21:17.6,Hudsonville,Portage,2019
Lillian Reiner,21:17.8,Holland West Ottawa,Portage,2019
Nicole Majors,21:18.3,Hartland,Portage,2019
Paige Ratliff,21:18.6,Battle Creek Lakeview,Portage,2019
Mary England,21:20.7,Kalamazoo Central,Portage,2019
Ambria Nagel,21:21.4,Bay City Western,Portage,2019
Perla Reyes,21:21.5,Battle Creek Lakeview,Portage,2019
Sari Schleifer,21:21.9,Traverse City West,Portage,2019
Sophie Bonnema,21:22.5,Holland West Ottawa,Portage,2019
Mara Mueting,21:24.6,Ann Arbor Skyline,Portage,2019
Nora Hoekert,21:24.7,Rockford,Portage,2019
Therese Georgia,21:25.7,Port Huron Northern,Portage,2019
Paige Ciuzicki,21:25.8,Hartland,Portage,2019
Dinara Domeier,21:27.1,Byron Center,Portage,2019
Zenaida Sackett,21:27.8,Kalamazoo Central,Portage,2019
Maddy Wolf,21:29.3,Grandville,Portage,2019
Leah Huyler,21:30.0,Grand Haven,Portage,2019
Fatima Cruz,21:32.5,Battle Creek Lakeview,Portage,2019
Allie Arnsman,21:33.4,Grandville,Portage,2019
Aliza Garcia,21:34.5,Portage Northern,Portage,2019
Morgan Kay,21:35.0,Monroe,Portage,2019
Rachel Marco,21:36.3,FHC GR_Forest Hills Central,Portage,2019
Erica Slocum,21:37.0,Bay City Western,Portage,2019
Samantha Wells,21:37.6,Zeeland West,Portage,2019
Ellie Roberts,21:37.9,Zeeland West,Portage,2019
Madison Rivera,21:38.4,Culver Academies,Portage,2019
Ella Thomas,21:40.7,Traverse City West,Portage,2019
Kate Parzych,21:42.5,FHN GR_Forest Hills Northern,Portage,2019
Destiny Douglas,21:43.3,Muskegon Mona Shores,Portage,2019
Mallory Bowker,21:44.1,Kalamazoo Central,Portage,2019
Audrey Braund,21:44.8,Traverse City West,Portage,2019
Kyra Shadduck,21:46.1,DeWitt,Portage,2019
Ally Ladd,21:46.5,Cedar Springs,Portage,2019
Julia Kooyer,21:47.8,Holland,Portage,2019
Ella Steele,21:51.2,Portage Central,Portage,2019
Sierra Lubetkin,21:51.5,Ann Arbor Skyline,Portage,2019
Grace McGlynn,21:54.2,Battle Creek Lakeview,Portage,2019
Emily Broman,21:54.9,White Lake Lakeland,Portage,2019
Joanne Padron,21:56.1,Holland,Portage,2019
Chloe Gunter,21:57.8,Monroe,Portage,2019
Claire Johnson,21:58.8,Mattawan,Portage,2019
Meredith Walters,22:00.4,Holland,Portage,2019
Claire Stevens,22:01.7,Grand Haven,Portage,2019
McKenna Hinkle,22:03.8,Byron Center,Portage,2019
Juliette Langlinais,22:04.5,Mattawan,Portage,2019
Regina Herrero,22:05.3,Culver Academies,Portage,2019
Paige Parker,22:07.8,Portage Central,Portage,2019
Callie Francisco,22:09.7,Monroe,Portage,2019
Kelsey Kehren,22:10.8,Grand Ledge,Portage,2019
Steph Dodd,22:10.9,Zeeland West,Portage,2019
Lizzy Nelson,22:12.7,St. Joseph,Portage,2019
Abigale Vitou,22:14.7,DeWitt,Portage,2019
Laiken Pettit,22:14.7,Byron Center,Portage,2019
Marissa Wolschleger,22:14.7,Pinckney,Portage,2019
Robyn Hunt,22:19.6,Muskegon Mona Shores,Portage,2019
McKenna Norman,22:22.9,Portage Central,Portage,2019
Ashley Witham,22:23.3,Grand Ledge,Portage,2019
Adelin Patterson,22:23.5,Grand Ledge,Portage,2019
Miette Smith,22:24.7,Portage Northern,Portage,2019
Madison Scott,22:24.8,St. Joseph,Portage,2019
Claire Ackerman,22:28.7,Traverse City West,Portage,2019
Riley Damore,22:30.1,Battle Creek Lakeview,Portage,2019
Kendal Sloan,22:31.1,Kalamazoo Loy Norrix,Portage,2019
Isabel VanDusen,22:31.7,Cedar Springs,Portage,2019
Celia Kingscott,22:33.3,Grandville,Portage,2019
Megan Schafer,22:34.0,Grand Ledge,Portage,2019
Faye Scott-Farnsworth,22:36.4,Portage Northern,Portage,2019
Madelyn Wilke,22:37.3,Portage Northern,Portage,2019
Emma McCalister,22:40.4,Monroe,Portage,2019
Gabi Reitenour,22:44.4,Mattawan,Portage,2019
Lajla Hadzimujic,22:46.7,FHC GR_Forest Hills Central,Portage,2019
Francesca Melloso,22:48.0,St. Joseph,Portage,2019
Hailey Kempf,22:49.0,Grandville,Portage,2019
Molly Bentley,22:49.2,Cedar Springs,Portage,2019
Claire Richardson,22:49.6,FHC GR_Forest Hills Central,Portage,2019
Tonya Tepin,22:52.0,Cedar Springs,Portage,2019
Hailey Winkelman,22:52.0,Monroe,Portage,2019
Rose Meyer,22:52.4,Grandville,Portage,2019
Isabel Walters,22:53.9,FHC GR_Forest Hills Central,Portage,2019
Georgia Jurden,22:54.0,Pinckney,Portage,2019
Lily Howland,22:55.1,Cedar Springs,Portage,2019
Olivia Veersma,23:05.9,St. Joseph,Portage,2019
Molly Bacik,23:07.6,Battle Creek Lakeview,Portage,2019
Elise Ferguson,23:19.2,Grandville,Portage,2019
Alexis Wood,23:21.8,Cedar Springs,Portage,2019
Georgia Hill,23:36.4,Kalamazoo Loy Norrix,Portage,2019
Brisa Hernandez,23:38.7,Battle Creek Lakeview,Portage,2019
Ellen Wilson,23:39.7,Mattawan,Portage,2019
Morgan Tschetter,23:40.9,St. Joseph,Portage,2019
Amelia Spencley,23:55.5,DeWitt,Portage,2019
Audrey White,23:58.4,Muskegon Mona Shores,Portage,2019
Hannah Menosky,23:58.5,Pinckney,Portage,2019
Elizabeth Knoll,24:03.4,Muskegon Mona Shores,Portage,2019
Taylor Armstrong,24:04.4,Portage Northern,Portage,2019
Olivia Polderman,24:04.4,Kalamazoo Loy Norrix,Portage,2019
Jeriah Steward,24:23.0,Kalamazoo Central,Portage,2019
Emily-Jo Buysse,24:35.4,Portage Northern,Portage,2019
Kinsey Skjold,25:50.7,Kalamazoo Loy Norrix,Portage,2019
Lily Sharp,26:02.3,Holland,Portage,2019
Madison Jackson,26:12.3,Kalamazoo Central,Portage,2019
Lauren Kaus,26:24.1,Pinckney,Portage,2019
Ericka VanderLende,17:02.0,Rockford,GR Riverside,2018
Gabby Hentemann,18:25.2,Grand Haven,GR Riverside,2018
Emma Everhart - Deckard,18:29.7,Rockford,GR Riverside,2018
Lindsey Peters,18:54.0,Caledonia,GR Riverside,2018
Elise Gray,18:59.2,Hudsonville,GR Riverside,2018
Katie Frauenheim,18:59.6,Holland West Ottawa,GR Riverside,2018
Abby Olson,19:02.3,Holland West Ottawa,GR Riverside,2018
Taylor Visscher,19:02.4,Caledonia,GR Riverside,2018
Emma Woltjer,19:06.6,Caledonia,GR Riverside,2018
Abby Buitenhuis,19:14.0,Grand Haven,GR Riverside,2018
Mady VanWieren,19:18.0,Holland West Ottawa,GR Riverside,2018
Kaia Denhof,19:19.5,Holland West Ottawa,GR Riverside,2018
Lexie Allshouse,19:20.5,Rockford,GR Riverside,2018
Elizabeth Bennett,19:40.4,Rockford,GR Riverside,2018
Eden Traub,19:44.0,Grand Haven,GR Riverside,2018
Zoe Louis,19:44.2,Hudsonville,GR Riverside,2018
Madison Cook,19:48.2,Hudsonville,GR Riverside,2018
Kelsie McManus,19:48.7,Grand Haven,GR Riverside,2018
Alicia Sabin,19:49.2,Hudsonville,GR Riverside,2018
Iris Swarthout,19:49.7,Holland West Ottawa,GR Riverside,2018
Alayna Babcock,19:50.9,East Kentwood,GR Riverside,2018
Bailey Ewen,19:56.7,Rockford,GR Riverside,2018
Sophia Lirio,19:57.6,Hudsonville,GR Riverside,2018
Carly Postma,20:01.8,Caledonia,GR Riverside,2018
Taylor Schott,20:03.7,Holland West Ottawa,GR Riverside,2018
Giovana Marecek,20:06.0,Grand Haven,GR Riverside,2018
Carly Maynard,20:06.7,Rockford,GR Riverside,2018
Holly Bowling,20:15.3,Caledonia,GR Riverside,2018
Jenna Kral,20:17.4,Hudsonville,GR Riverside,2018
Karlie Gardner,20:30.9,Rockford,GR Riverside,2018
Alex Amores,20:32.3,Grand Haven,GR Riverside,2018
Barbara DeGood,20:33.0,Caledonia,GR Riverside,2018
Halle Blauwkamp,20:33.4,Hudsonville,GR Riverside,2018
Emily Laird,20:33.9,Holland West Ottawa,GR Riverside,2018
Madison Malon,20:39.8,Grandville,GR Riverside,2018
Talia Wilder,20:48.0,Caledonia,GR Riverside,2018
Jenna Ray,20:51.3,Grand Haven,GR Riverside,2018
Jenna Brewer,21:03.2,Grandville,GR Riverside,2018
Maddy Wolf,21:15.1,Grandville,GR Riverside,2018
Grace Hoekema,21:36.1,Grandville,GR Riverside,2018
Emily Gray,22:06.8,Grandville,GR Riverside,2018
Hailey Kempf,22:24.4,Grandville,GR Riverside,2018
Libby McComas,22:27.3,East Kentwood,GR Riverside,2018
Mykah Bea,22:48.0,East Kentwood,GR Riverside,2018
Sophia Hopkins,23:05.6,Grandville,GR Riverside,2018
Emily Kwekel,23:31.0,East Kentwood,GR Riverside,2018
Tiffany Pham,23:42.7,East Kentwood,GR Riverside,2018
Arianne Olson,17:47.5,Holland West Ottawa,GR Riverside,2019
Abby Olson,18:38.4,Holland West Ottawa,GR Riverside,2019
Lindsey Peters,18:58.6,Caledonia,GR Riverside,2019
Bailey Ewen,19:43.6,Rockford,GR Riverside,2019
Lucy Groothuis,19:53.5,Holland West Ottawa,GR Riverside,2019
Emma Flanders,19:58.7,Rockford,GR Riverside,2019
Jessica Harney,20:00.4,Rockford,GR Riverside,2019
Alicia Sabin,20:01.4,Hudsonville,GR Riverside,2019
Sophia Lirio,20:06.6,Hudsonville,GR Riverside,2019
Savanna Coulter,20:08.8,Caledonia,GR Riverside,2019
Eden Traub,20:08.9,Grand Haven,GR Riverside,2019
Tatum Verburg,20:10.9,Caledonia,GR Riverside,2019
Jenna Ray,20:12.8,Grand Haven,GR Riverside,2019
Alayna Babcock,20:14.5,East Kentwood,GR Riverside,2019
Holly Bowling,20:22.3,Caledonia,GR Riverside,2019
Anna Tracey,20:24.8,Rockford,GR Riverside,2019
Jenna Kral,20:29.6,Hudsonville,GR Riverside,2019
Abby Bonnema,20:32.2,Holland West Ottawa,GR Riverside,2019
Lexie Allshouse,20:35.1,Rockford,GR Riverside,2019
Taylor Visscher,20:35.2,Caledonia,GR Riverside,2019
Elise Conkel,20:36.4,Hudsonville,GR Riverside,2019
Megan Postma,20:40.1,Holland West Ottawa,GR Riverside,2019
Olivia McKellar,20:43.8,Grandville,GR Riverside,2019
Elise VanStensel,20:48.5,Rockford,GR Riverside,2019
Emily Laird,20:51.6,Holland West Ottawa,GR Riverside,2019
Sarah Spears,20:54.3,Hudsonville,GR Riverside,2019
Barbara DeGood,20:54.5,Caledonia,GR Riverside,2019
Abby Martin,20:55.1,Hudsonville,GR Riverside,2019
Allie Arnsman,21:01.0,Grandville,GR Riverside,2019
Emma Heidema,21:02.3,Hudsonville,GR Riverside,2019
Soleil Moore,21:03.4,East Kentwood,GR Riverside,2019
Allison Kelly,21:05.7,Grand Haven,GR Riverside,2019
Cadence Schultz,21:08.9,East Kentwood,GR Riverside,2019
Leah Huyler,21:09.4,Grand Haven,GR Riverside,2019
Margot Frendt,21:10.2,Grand Haven,GR Riverside,2019
Natalie Blake,21:12.5,Holland West Ottawa,GR Riverside,2019
Eliza Taylor,21:15.3,Grand Haven,GR Riverside,2019
Natalia Quigley,21:24.2,Caledonia,GR Riverside,2019
Elise Ferguson,21:44.8,Grandville,GR Riverside,2019
Sofia D'Arienzo,21:48.2,Grandville,GR Riverside,2019
Torionna Waterman,21:52.6,East Kentwood,GR Riverside,2019
Claire Stevens,21:56.1,Grand Haven,GR Riverside,2019
Elizabeth Bennett,21:59.5,Rockford,GR Riverside,2019
Shelly Pham,22:20.5,East Kentwood,GR Riverside,2019
Emma Kovacevic,22:29.5,East Kentwood,GR Riverside,2019
Hailey Kempf,22:30.3,Grandville,GR Riverside,2019
Celia Kingscott,22:30.7,Grandville,GR Riverside,2019
Maddy Wolf,22:39.9,Grandville,GR Riverside,2019
Katie Carothers,18:47,Brighton,Huron Meadows,2020
Jennie Line,18:51,Northville,Huron Meadows,2020
Yasmine Mansi,19:26,Northville,Huron Meadows,2020
Amanda Simon,19:57,Brighton,Huron Meadows,2020
Janie DeGroot,20:00,Northville,Huron Meadows,2020
Emily Gordon,20:08,Northville,Huron Meadows,2020
Gina Couyoumjian,20:11,Northville,Huron Meadows,2020
Ella Christensen,20:19,Northville,Huron Meadows,2020
Keira Courtney,20:21,Northville,Huron Meadows,2020
Ellie Stark,20:25,Brighton,Huron Meadows,2020
Karly Lynch,20:39,Brighton,Huron Meadows,2020
Amelia Kashian,20:48,Brighton,Huron Meadows,2020
Nikki Carothers,21:06,Brighton,Huron Meadows,2020
Avery Peters,21:11,Northville,Huron Meadows,2020
Natalie Havristiuc,21:22,Northville,Huron Meadows,2020
Andrea Repyak,21:33,Brighton,Huron Meadows,2020
Hannah Tsiang,21:39,Brighton,Huron Meadows,2020
Anna Gdowski,22:04,Northville,Huron Meadows,2020
Emilee Balzer,22:09,Brighton,Huron Meadows,2020
Megan Kowalski,22:17,Brighton,Huron Meadows,2020
Gabrielle Bolitho,22:21,Brighton,Huron Meadows,2020
Carman Raad,22:30,Northville,Huron Meadows,2020
Abby Watkins,22:30,Brighton,Huron Meadows,2020
Natali Lindenmeyer,23:00,Northville,Huron Meadows,2020
Samantha Rivera,23:05,Northville,Huron Meadows,2020
Elise Jund,23:05,Northville,Huron Meadows,2020
Charlotte Kime,23:24,Brighton,Huron Meadows,2020
Elizabeth Grant,23:34,Northville,Huron Meadows,2020
Abby Ludtke,23:44,Northville,Huron Meadows,2020
Olivia Green,23:50,Northville,Huron Meadows,2020
Heather Woodward,23:51,Brighton,Huron Meadows,2020
Melina Moustakeas,23:51,Northville,Huron Meadows,2020
Katie Kehoe,23:53,Northville,Huron Meadows,2020
Caleigh Hurley,24:09:00,Brighton,Huron Meadows,2020
Natalie Syversen,24:20:00,Brighton,Huron Meadows,2020
Lauren Mailley,24:26:00,Northville,Huron Meadows,2020
Morgan Waggoner,24:36:00,Brighton,Huron Meadows,2020
Saanvi Reddy,25:00:00,Northville,Huron Meadows,2020
Cassie Guerrera,25:09:00,Northville,Huron Meadows,2020
Tia MacLennan,25:10:00,Brighton,Huron Meadows,2020
Erin Simmermon,25:13:00,Brighton,Huron Meadows,2020
Rachel Riefe,25:16:00,Brighton,Huron Meadows,2020
Anja Olsen,25:22:00,Northville,Huron Meadows,2020
Destiny Wallag,25:40:00,Brighton,Huron Meadows,2020
Lucy Mejia,26:07:00,Brighton,Huron Meadows,2020
Isabelle Seng,26:28:00,Brighton,Huron Meadows,2020
Monique Finet,26:30:00,Brighton,Huron Meadows,2020
Casey Leonard,26:36:00,Northville,Huron Meadows,2020
Katie Ziparo,27:06:00,Northville,Huron Meadows,2020
Cate Leneschmidt,27:18:00,Northville,Huron Meadows,2020
Grace Urban,27:20:00,Brighton,Huron Meadows,2020
Syona Gupta,27:22:00,Northville,Huron Meadows,2020
Maia Balderson,27:49:00,Brighton,Huron Meadows,2020
Hannah Carney,28:05:00,Brighton,Huron Meadows,2020
Julia Merritt,28:07:00,Northville,Huron Meadows,2020
MacKenzie Jabari,29:00:00,Brighton,Huron Meadows,2020
Olivia Millen,18:31.3,Salem,Hudson Mills,2019
Isabell Kulick,18:31.8,Salem,Hudson Mills,2019
Marissa Henry,18:34.7,Salem,Hudson Mills,2019
Martha Shomsky,18:39.7,Unattached,Hudson Mills,2019
Liliane Aittama,18:57.6,South Lyon East,Hudson Mills,2019
Laura O'Brien,18:59.9,Ann Arbor Skyline,Hudson Mills,2019
Jessica Schamanek,19:14.1,Rochester Hills Stoney Creek,Hudson Mills,2019
Sophia Grant,19:44.3,Dexter,Hudson Mills,2019
Catrin Koselka,19:55.8,Ann Arbor Skyline,Hudson Mills,2019
Tessa Voss,20:04.1,Berkley,Hudson Mills,2019
Morgan Aittama,20:05.1,South Lyon East,Hudson Mills,2019
Kate Huthwaite,20:06.7,Rochester Hills Stoney Creek,Hudson Mills,2019
Elise Nyquist,20:09.7,Grosse Pointe North,Hudson Mills,2019
Kiersten McBride,20:10.0,Salem,Hudson Mills,2019
Ellie Stark,20:20.1,Brighton,Hudson Mills,2019
Megan Foster,20:28.0,Brighton,Hudson Mills,2019
Jackie Albo,20:30.2,Grosse Pointe North,Hudson Mills,2019
Grace Landon,20:30.8,Salem,Hudson Mills,2019
Arielle Melong,20:34.3,Ann Arbor Skyline,Hudson Mills,2019
Megan Ko,20:34.8,Rochester Hills Stoney Creek,Hudson Mills,2019
Annaliese Thomas,20:36.1,Grosse Pointe North,Hudson Mills,2019
Rachel Fusik,20:44.0,Brighton,Hudson Mills,2019
Mara Mueting,20:46.8,Ann Arbor Skyline,Hudson Mills,2019
Caitlyn Donnelly,20:47.1,Ann Arbor Skyline,Hudson Mills,2019
Lydia Cocciolone,20:47.4,Ann Arbor Skyline,Hudson Mills,2019
Abby Siddall,20:47.8,Salem,Hudson Mills,2019
Morgan Waggoner,20:49.1,Brighton,Hudson Mills,2019
Rebecca Feber,20:49.3,Berkley,Hudson Mills,2019
Elizabeth MacLellan,20:51.5,Salem,Hudson Mills,2019
Reganne Koskela,20:52.7,South Lyon East,Hudson Mills,2019
Abigail Fox,20:55.1,Dexter,Hudson Mills,2019
Sophia Dragich,20:55.8,Grosse Pointe North,Hudson Mills,2019
Gracie Gumbel,20:56.5,Salem,Hudson Mills,2019
Abby Smith,20:57.7,Brighton,Hudson Mills,2019
Alaina Rider,20:59.8,South Lyon East,Hudson Mills,2019
Emily House,21:00.1,Brighton,Hudson Mills,2019
Lyndsay Kluge,21:00.8,Grosse Pointe North,Hudson Mills,2019
Jacklyn Tedesco,21:03.5,Rochester Hills Stoney Creek,Hudson Mills,2019
Andrea Repyak,21:04.2,Brighton,Hudson Mills,2019
Sierra Lubetkin,21:05.9,Ann Arbor Skyline,Hudson Mills,2019
Sarah Seagram,21:09.2,Grosse Pointe North,Hudson Mills,2019
Esha Bingi,21:11.6,Salem,Hudson Mills,2019
Jessica Hoehn,21:12.6,Dexter,Hudson Mills,2019
Taylor Forshee,21:16.2,Dexter,Hudson Mills,2019
Quinn Hilla,21:16.6,Dexter,Hudson Mills,2019
Erin Benitez,21:18.3,Rochester Hills Stoney Creek,Hudson Mills,2019
Caroline Mrsan,21:19.9,Grosse Pointe North,Hudson Mills,2019
Natalie Kessler,21:35.6,Ann Arbor Skyline,Hudson Mills,2019
Charlotte Capuano,21:36.7,Berkley,Hudson Mills,2019
Anna Lisa Lynch,21:37.0,Grosse Pointe North,Hudson Mills,2019
Maddie Price,21:37.6,Salem,Hudson Mills,2019
Chloe Sprague,21:38.2,Dexter,Hudson Mills,2019
Allison Shareck,21:38.6,Brighton,Hudson Mills,2019
Annalise Bailey,21:39.0,Ann Arbor Skyline,Hudson Mills,2019
Anna Machak,21:42.6,Rochester Hills Stoney Creek,Hudson Mills,2019
Mayra Eger,21:46.5,Grosse Pointe South,Hudson Mills,2019
Sofia Klimczak,21:50.3,Rochester Hills Stoney Creek,Hudson Mills,2019
Gia Derrick,21:51.7,Grosse Pointe North,Hudson Mills,2019
Riley Bracken,21:51.9,South Lyon East,Hudson Mills,2019
Elaine Donahue,21:54.2,Rochester Hills Stoney Creek,Hudson Mills,2019
Isabella Mai,21:54.9,Rochester Hills Stoney Creek,Hudson Mills,2019
Emily Woodyard,21:55.2,South Lyon East,Hudson Mills,2019
Jenna Clark,21:55.7,Grosse Pointe South,Hudson Mills,2019
Elizabeth Bellovich,21:58.0,Grosse Pointe South,Hudson Mills,2019
Ella Green,22:02.6,Rochester Hills Stoney Creek,Hudson Mills,2019
Paloma Beacham,22:05.2,Grosse Pointe South,Hudson Mills,2019
Miya Bowman,22:06.2,Grosse Pointe South,Hudson Mills,2019
Ava Chavez,22:08.2,South Lyon East,Hudson Mills,2019
Katie Dantzer,22:11.8,South Lyon East,Hudson Mills,2019
Ashley Mitchell,22:17.6,Dexter,Hudson Mills,2019
Faith Jones,22:18.3,Dexter,Hudson Mills,2019
Jennifer Nederegger,22:20.4,Rochester Hills Stoney Creek,Hudson Mills,2019
Makenna Musser,22:22.2,Rochester Hills Stoney Creek,Hudson Mills,2019
Marrin Harris,22:23.1,Grosse Pointe South,Hudson Mills,2019
Victoria Gardey,22:25.3,Grosse Pointe South,Hudson Mills,2019
Maddie Monette,22:26.9,Rochester Hills Stoney Creek,Hudson Mills,2019
Grace Wininger,22:27.5,Grosse Pointe South,Hudson Mills,2019
Quinn Collins,22:27.8,Berkley,Hudson Mills,2019
Charlotte Squires,22:28.8,Berkley,Hudson Mills,2019
Sarah Bill,22:31.6,Berkley,Hudson Mills,2019
Gabriella Stajdl,22:32.5,South Lyon East,Hudson Mills,2019
Katie Patton,22:32.8,South Lyon East,Hudson Mills,2019
Emma Hodder,22:40.1,Dexter,Hudson Mills,2019
Emma Vermillion,22:42.5,South Lyon East,Hudson Mills,2019
Jessica Link,22:46.5,South Lyon East,Hudson Mills,2019
Christine Chupailo,22:49.1,Rochester Hills Stoney Creek,Hudson Mills,2019
